kata,skor,label
energi,-0.050128877,negatif
pakai,-0.02897203,negatif
hati,-0.047563076,negatif
the,-0.039214075,negatif
salah,-0.027207017,negatif
i,-0.038933992,negatif
tolong,-0.021914363,negatif
sistem,-0.04404354,negatif
habis,-0.036314487,negatif
kurang,-0.039004803,negatif
good,-0.03713572,negatif
is,-0.051455855,negatif
this,-0.05177027,negatif
you,-0.02608937,negatif
app,-0.035013497,negatif
and,-0.029966235,negatif
update,-0.026545525,negatif
ganti,-0.03456384,negatif
fitur,-0.02563572,negatif
energy,-0.036391795,negatif
for,-0.033088565,negatif
sok,-0.03342682,negatif
very,-0.042806804,negatif
best,-0.02372253,negatif
kembali,-0.03239715,negatif
like,-0.042834163,negatif
a,-0.02791357,negatif
english,-0.029227793,negatif
but,-0.031559646,negatif
nyawa,-0.029668152,negatif
tonton,-0.025022745,negatif
love,-0.027503073,negatif
heart,-0.031373203,negatif
baterai,-0.027047336,negatif
thank,-0.023241222,negatif
its,-0.027000785,negatif
me,-0.031710684,negatif
nice,-0.031567216,negatif
learn,-0.029413462,negatif
my,-0.024345756,negatif
please,-0.02167511,negatif
with,-0.028712928,negatif
learning,-0.03412217,negatif
fun,-0.033608675,negatif
batas,-0.02675426,negatif
can,-0.03137988,negatif
im,-0.024755538,negatif
system,-0.030999184,negatif
mending,-0.02528876,negatif
not,-0.025685787,negatif
application,-0.040448785,negatif
really,-0.03705126,negatif
jelek,-0.021877825,negatif
are,-0.022518873,negatif
language,-0.026955545,negatif
of,-0.027837038,negatif
happy,-0.027268827,negatif
that,-0.02417773,negatif
balikin,-0.024974048,negatif
baru,-0.020225048,negatif
why,-0.023396969,negatif
great,-0.030009389,negatif
new,-0.030377626,negatif
aneh,-0.020490706,negatif
apps,-0.023219824,negatif
because,-0.024637938,negatif
buruk,-0.021403909,negatif
study,-0.024327993,negatif
speak,-0.028068602,negatif
lesson,-0.020742655,negatif
have,-0.020891309,negatif
mode,-0.020644665,negatif
there,-0.028249621,negatif
dont,-0.027940929,negatif
jawab,-0.023030698,negatif
better,-0.023680866,negatif
boros,-0.032693624,negatif
kikir,-0.028639615,negatif
now,-0.021647096,negatif
back,-0.027947664,negatif
just,-0.023659289,negatif
use,-0.022303224,negatif
if,-0.027719975,negatif
ngisi,-0.021046102,negatif
be,-0.022711813,negatif
only,-0.02249676,negatif
was,-0.025240779,negatif
job,-0.021010935,negatif
cool,-0.03648454,negatif
on,-0.023790836,negatif
more,-0.02257955,negatif
mah,-0.024486482,negatif
diamond,-0.024586558,negatif
wrong,-0.026042044,negatif
one,-0.03001839,negatif
battery,-0.02380991,negatif
support,-0.022510827,negatif
from,-0.027050793,negatif
play,-0.023144603,negatif
maksa,-0.022006214,negatif
even,-0.021534562,negatif
cant,-0.025560439,negatif
tahan,-0.020548582,negatif
when,-0.024300814,negatif
help,-0.026335418,negatif
mood,-0.021150827,negatif
much,-0.023648083,negatif
want,-0.02267176,negatif
get,-0.024716139,negatif
bad,-0.022425234,negatif
sorry,-0.027556896,negatif
your,-0.021581113,negatif
will,-0.022494972,negatif
easy,-0.028739452,negatif
sebal,-0.02057165,negatif
bring,-0.02924949,negatif
what,-0.024297953,negatif
ads,-0.024341524,negatif
too,-0.020106792,negatif
languages,-0.020663738,negatif
lot,-0.024015725,negatif
dev,-0.020314157,negatif
think,-0.024310708,negatif
amazing,-0.03342825,negatif
any,-0.021079719,negatif
feature,-0.02651,negatif
change,-0.0234676,negatif
imut,-0.021376073,negatif
penuh,-0.020135105,negatif
at,-0.021984637,negatif
some,-0.020945787,negatif
kaya,-0.023628414,negatif
time,-0.02263689,negatif
banding,-0.027164102,negatif
well,-0.024576068,negatif
day,-0.020036638,negatif
helpful,-0.038744092,negatif
pelit,-0.036430895,negatif
ih,-0.02068454,negatif
thing,-0.02853185,negatif
after,-0.02594757,negatif
give,-0.024439871,negatif
many,-0.021703184,negatif
us,-0.021025717,negatif
kapitalis,-0.024116814,negatif
hi,-0.022626579,negatif
aplication,-0.028729677,negatif
about,-0.02261591,negatif
again,-0.021270692,negatif
still,-0.02062136,negatif
bar,-0.022516608,negatif
rang,-0.02504903,negatif
does,-0.020338416,negatif
hearts,-0.025172114,negatif
word,-0.030563533,negatif
itu,-0.023561954,negatif
kocak,-0.029448986,negatif
know,-0.027922392,negatif
smart,-0.025369525,negatif
eror,-0.021498382,negatif
ive,-0.021567106,negatif
star,-0.02660489,negatif
understand,-0.026417732,negatif
batrai,-0.021107972,negatif
answer,-0.024535656,negatif
also,-0.02117616,negatif
repot,-0.026054502,negatif
did,-0.025189102,negatif
duoo,-0.021683812,negatif
pakenya,-0.021028936,negatif
annoying,-0.035426915,negatif
same,-0.032957852,negatif
though,-0.020003498,negatif
hope,-0.043969512,negatif
ikon,-0.022084892,negatif
studying,-0.02584058,negatif
users,-0.020484924,negatif
beginner,-0.025177717,negatif
buang,-0.02282852,negatif
detik,-0.020690143,negatif
practice,-0.028971016,negatif
luck,-0.024562657,negatif
kagak,-0.02258259,negatif
gasuka,-0.020915031,negatif
health,-0.022283077,negatif
refill,-0.025070488,negatif
old,-0.025738299,negatif
finish,-0.024033308,negatif
start,-0.025593877,negatif
didnt,-0.020435572,negatif
version,-0.02058357,negatif
hatinyawa,-0.02690798,negatif
able,-0.030707657,negatif
lessons,-0.028053045,negatif
they,-0.020647168,negatif
tengah,-0.026317537,negatif
disappointed,-0.0323503,negatif
leaderboard,-0.020425439,negatif
five,-0.02407515,negatif
work,-0.021266222,negatif
topik,-0.021024346,negatif
